"","Day","Mean Pressure (hPa)","Absolute Daily Max Air Temperature (deg. C)","Mean Air Temperature (deg. C)","Absolute Daily Min Air Temperature (deg. C)","Mean Dew Point (deg. C)","Mean Relative Humidity (%)","Mean Amount of Cloud (%)","Total Rainfall (mm)","Total Bright Sunshine (hours)","Prevailing Wind Direction (degrees)","Mean Wind Speed (km/h)","WeekID","GP","Date"
"580",3,1005.8,32.6,29.5,27.2,24.1,73,22,"0",11.3,"270","20.5",83,4.52857142857143,2011-08-03
"581",4,1002.9,34.2,29.9,27.3,25,75,39,"0",10.8,"220","14.3",83,4.52857142857143,2011-08-04
"582",5,1001.1,33.5,30.1,27.8,24.9,74,55,"0",7.1,"210","8.5",83,4.52857142857143,2011-08-05
"583",6,1000.2,33.2,30.2,28,24.9,74,45,"0",11.4,"220","14.5",84,4.71428571428571,2011-08-06
"584",7,1002.1,35,30.9,28.6,25.7,75,62,"0",10.5,"210","13.8",84,4.71428571428571,2011-08-07
"585",8,1004.3,31.1,29.2,25.6,25.2,79,77,"22.1",5.4,"210","15.7",84,4.71428571428571,2011-08-08
"586",9,1004.5,31.5,28,26,25.4,86,86,"9.9",1.1,"150","12.4",84,4.71428571428571,2011-08-09
"587",10,1005.8,28.3,26.8,25.2,25.3,92,85,"60.5",0.1,"180","20.5",84,4.71428571428571,2011-08-10
"588",11,1007.9,32.2,28.7,26,25.4,83,67,"17.9",6.1,"180","16.2",84,4.71428571428571,2011-08-11
"589",12,1008,32,29.4,27.6,25.2,78,65,"0",9.1,"180","12.8",84,4.71428571428571,2011-08-12
"590",13,1008.8,32.9,29.6,27.9,24.5,75,53,"0",9.3,"220","14",85,4.41428571428571,2011-08-13
"591",14,1010.6,32.8,29.6,28,24.3,74,59,"Trace",8.9,"210","12.4",85,4.41428571428571,2011-08-14
"592",15,1011,31.9,29.7,27.9,25,76,45,"0",8.9,"220","11.3",85,4.41428571428571,2011-08-15
"593",16,1009.9,32.3,29.3,28.1,24.9,78,35,"8.5",9.8,"210","10.9",85,4.41428571428571,2011-08-16
"594",17,1009.4,30.5,28.7,27.2,25.1,81,42,"10.1",7.2,"180","11.6",85,4.41428571428571,2011-08-17
"595",18,1010,32.5,29.2,27.1,25.2,80,53,"0",9.3,"120","9.8",85,4.41428571428571,2011-08-18
"596",19,1010.9,33,29.6,27.8,25.5,79,61,"0",8.6,"50","14.5",85,4.41428571428571,2011-08-19
"597",20,1011,33,29.2,25.6,25.2,80,45,"3.7",10.3,"100","15.5",86,4.55714285714286,2011-08-20
"598",21,1009.8,32.5,29.5,28.1,25.5,80,50,"Trace",7.3,"110","7.9",86,4.55714285714286,2011-08-21
"599",22,1008.1,30.4,29,28.1,25.8,83,51,"1.4",3.2,"180","8.8",86,4.55714285714286,2011-08-22
"600",23,1006.6,32.4,29.8,28.2,25,76,55,"0",10.2,"220","13.7",86,4.55714285714286,2011-08-23
"601",24,1006.1,32.4,29.8,27.1,25.1,76,49,"3.9",9.4,"220","15.1",86,4.55714285714286,2011-08-24
"602",25,1005.7,30.9,28.6,26.4,24.9,81,69,"13.7",1.7,"40","7.3",86,4.55714285714286,2011-08-25
"603",26,1006.1,31.8,29.1,27,24.3,76,61,"Trace",4.8,"20","11.2",86,4.55714285714286,2011-08-26
"604",27,1004.6,32.9,29.2,27.5,24.2,75,54,"5.2",6.3,"20","8.7",87,5.41428571428571,2011-08-27
"605",28,1003,32,30.2,28,23.7,69,75,"0",7.3,"290","14.4",87,5.41428571428571,2011-08-28
"606",29,1002.3,33.7,30.6,27.7,23.7,67,75,"0.2",7.8,"280","18.4",87,5.41428571428571,2011-08-29
"607",30,1001,33.3,30.9,28.8,24.4,69,68,"0",7.5,"290","23.9",87,5.41428571428571,2011-08-30
"608",31,999.3,33.4,30.6,28.7,23,64,58,"0.5",8.9,"280","13.1",87,5.41428571428571,2011-08-31
"609",1,1000.5,30.1,28.2,27.4,23.1,74,82,"0.1",2.6,"310","11.8",87,5.41428571428571,2011-09-01
"610",2,1002.6,31.2,28.8,27.2,24.6,78,85,"0",0.9,"160","6.2",87,5.41428571428571,2011-09-02
"611",3,1006.5,30.7,27.7,25.8,25.7,89,77,"22.6",3.1,"40","15",88,5.38571428571429,2011-09-03
"612",4,1008,31.5,28.6,26.6,25.6,84,64,"1.8",8,"140","8.5",88,5.38571428571429,2011-09-04
"613",5,1007.4,32.2,29.2,27.7,25.5,80,62,"0",5.7,"160","6.8",88,5.38571428571429,2011-09-05
"614",6,1007.4,31.9,29.3,27.9,25,78,56,"0",7.5,"130","9.7",88,5.38571428571429,2011-09-06
"615",7,1006.6,32,29.2,27,24.9,78,58,"0.2",8.8,"130","15.3",88,5.38571428571429,2011-09-07
"616",8,1007.5,32.2,29.5,27.9,25.5,79,52,"Trace",9.2,"110","18.4",88,5.38571428571429,2011-09-08
"617",9,1010,32.8,29.6,27.8,24.7,75,53,"Trace",7.4,"100","27.6",88,5.38571428571429,2011-09-09
"618",10,1010.9,31.7,29,26.6,24.6,78,51,"2.6",10.9,"100","34.6",89,6.12857142857143,2011-09-10
"619",11,1010.6,30.8,28.2,26.2,25,83,77,"20.4",6.5,"70","37",89,6.12857142857143,2011-09-11
"620",12,1010.6,32.4,28.5,25.9,25.1,82,81,"0.6",8.4,"70","33.2",89,6.12857142857143,2011-09-12
"621",13,1009.3,32.6,28.8,26.1,24.3,77,49,"2.7",10.5,"110","19.8",89,6.12857142857143,2011-09-13
"622",14,1007.4,32.7,29,26,24,75,46,"2.7",10.7,"110","16.9",89,6.12857142857143,2011-09-14
"623",15,1006.9,32,28.3,24.1,25,83,66,"10.9",7.6,"100","24",89,6.12857142857143,2011-09-15
"624",16,1005.5,32.3,28.6,26.8,25.2,82,63,"1",6,"110","25.9",89,6.12857142857143,2011-09-16
"625",17,1004.5,32.8,29.4,27.2,25.3,79,61,"0.2",8.4,"90","27",90,5.65714285714286,2011-09-17
"626",18,1007.2,29.9,28.6,27.4,24.9,81,72,"0.5",2.6,"110","30.4",90,5.65714285714286,2011-09-18
"627",19,1009.7,31.7,28.4,25.3,24.6,80,77,"16.1",6.5,"100","24.7",90,5.65714285714286,2011-09-19
"628",20,1011.3,27.6,26.1,24.9,21.6,76,87,"Trace",0.3,"20","24.7",90,5.65714285714286,2011-09-20
"629",21,1010.7,27.7,25.8,23.2,19.5,69,56,"0",5.5,"20","24.6",90,5.65714285714286,2011-09-21
"630",22,1010.3,26.9,25.8,23.9,19.4,68,80,"Trace",0.6,"30","30.9",90,5.65714285714286,2011-09-22
"631",23,1009.7,27.5,25.6,23.4,20.4,73,86,"0.3",0.9,"50","38.4",90,5.65714285714286,2011-09-23
"632",24,1009,27.4,25.7,24.2,20.3,73,88,"Trace",0.2,"50","41.2",91,6.04285714285714,2011-09-24
"633",25,1008.6,26.2,25.1,23.9,21.6,81,88,"4.2",0,"50","51.5",91,6.04285714285714,2011-09-25
"634",26,1008.9,30.8,27.3,25.1,23.1,78,81,"0.2",5.3,"70","44.9",91,6.04285714285714,2011-09-26
"635",27,1006.5,30.8,27.9,26.2,24,80,63,"Trace",7.8,"90","19.4",91,6.04285714285714,2011-09-27
"636",28,1003,31.3,28.7,26.2,22.9,72,71,"2.5",4.7,"30","37.2",91,6.04285714285714,2011-09-28
"637",29,1002.9,28.2,27.2,25.3,24.9,88,88,"30.8",0.2,"130","63",91,6.04285714285714,2011-09-29
"638",30,1009.4,28.9,27.7,27,25.6,89,79,"2.7",1.7,"110","24.6",91,6.04285714285714,2011-09-30
"639",1,1010.7,27.5,26.2,25.4,23.6,86,83,"12.7",0.5,"90","46.4",92,5.71428571428571,2011-10-01
"640",2,1009.2,27.1,25,23.5,21.9,84,82,"3.3",1.8,"30","32.7",92,5.71428571428571,2011-10-02
"641",3,1009.1,24,22.6,21.5,19.1,81,88,"1.6",0,"30","43.5",92,5.71428571428571,2011-10-03
"642",4,1011.5,25.2,23.8,22.2,19.4,76,88,"Trace",0.3,"60","50",92,5.71428571428571,2011-10-04
"643",5,1013.6,26,24.5,23.3,20.5,79,85,"0.1",1.2,"50","34.4",92,5.71428571428571,2011-10-05
"644",6,1014.3,27.9,25.2,23.3,21.3,79,88,"0.1",2.3,"80","31.5",92,5.71428571428571,2011-10-06
"645",7,1014.8,27.8,25.7,24.8,21.8,79,81,"Trace",2.6,"80","35.8",92,5.71428571428571,2011-10-07
"646",8,1014.7,28.8,26.2,24.6,21.6,76,68,"Trace",8,"80","33",93,5.14285714285714,2011-10-08
"647",9,1012.8,30.2,26.8,24.6,22.1,76,76,"0",7.2,"80","27.5",93,5.14285714285714,2011-10-09
"648",10,1011.8,29,26.4,24.4,22.6,80,86,"5.3",0.8,"60","40",93,5.14285714285714,2011-10-10
"649",11,1013,25.5,24.8,24.2,23.6,93,88,"6.9",0,"80","47.7",93,5.14285714285714,2011-10-11
"650",12,1012.2,25.1,24.6,23.6,24.1,97,90,"105.8",0,"100","34.5",93,5.14285714285714,2011-10-12
"651",13,1010.6,26.2,24.8,24.1,24.2,97,86,"30.7",1.5,"70","22.2",93,5.14285714285714,2011-10-13
"652",14,1010,27.1,25.4,24.3,23.5,89,83,"3.8",0.4,"70","19.4",93,5.14285714285714,2011-10-14
"653",15,1012.2,28.3,25.1,23.4,19.7,73,54,"0",5.9,"20","22.8",94,5.48571428571429,2011-10-15
"654",16,1013.7,29.6,25.5,22.9,17.6,62,30,"0",9.5,"20","20.2",94,5.48571428571429,2011-10-16
"655",17,1015.7,29.4,25.3,23,18.9,69,14,"0",10.5,"70","19.5",94,5.48571428571429,2011-10-17
"656",18,1016.9,27.4,24.7,22.7,19.2,72,23,"0",10,"90","26.5",94,5.48571428571429,2011-10-18
"657",19,1016,26.5,24.3,22.8,18.4,70,36,"Trace",9.1,"90","33.8",94,5.48571428571429,2011-10-19
"658",20,1015.3,27.6,24,21.7,18.5,72,27,"0",9.6,"70","21.3",94,5.48571428571429,2011-10-20
"659",21,1014.3,28.9,24.8,22.4,19.6,74,23,"0",9.8,"60","15.8",94,5.48571428571429,2011-10-21
"660",22,1014,27.9,25.2,23.6,21,78,42,"0",8.1,"70","26.3",95,5.3,2011-10-22
"661",23,1014.3,27.4,25,23.9,21.1,79,62,"0",6,"60","24.4",95,5.3,2011-10-23
"662",24,1013.8,28.9,25.7,23.1,21.6,79,25,"0",10.3,"60","8.7",95,5.3,2011-10-24
"663",25,1015.8,26.6,24.6,22.4,21.2,81,57,"0.5",2.9,"40","25.8",95,5.3,2011-10-25
"664",26,1017.5,25.7,23.3,22,19,77,79,"0.1",6.4,"50","29.5",95,5.3,2011-10-26
"665",27,1017.8,26,23.3,21.3,19.2,79,52,"1.5",7.3,"90","32.3",95,5.3,2011-10-27
"666",28,1017.7,27.1,24.3,22.9,18.7,72,60,"Trace",4.4,"80","26.4",95,5.3,2011-10-28
"667",29,1016.2,27.4,24.1,21.7,18,69,62,"0",6.1,"20","15.8",96,5.48571428571429,2011-10-29
"668",30,1015.6,27,24.3,22.3,19.5,75,57,"Trace",8.7,"60","24.3",96,5.48571428571429,2011-10-30
"669",31,1016.4,27,24.5,23,18.9,71,42,"Trace",9.9,"80","37.5",96,5.48571428571429,2011-10-31
"670",1,1015.9,27.7,24.6,22.3,18.8,71,54,"0",9.2,"70","25.3",96,5.48571428571429,2011-11-01
"671",2,1014,28.9,25.4,23.3,20.3,74,70,"0",5.8,"40","19.6",96,5.48571428571429,2011-11-02
"672",3,1013.6,29,26,24.1,21.7,77,80,"0",5.8,"60","23.6",96,5.48571428571429,2011-11-03
"673",4,1013.8,29.7,26.4,24.7,21.7,76,63,"Trace",8.5,"60","19.9",96,5.48571428571429,2011-11-04
"674",5,1013.3,28.8,26.4,24.8,22.7,80,61,"Trace",8.5,"80","19.9",97,5.08571428571429,2011-11-05
"675",6,1012.8,28.8,26.5,25.6,22.4,78,80,"Trace",2.7,"90","31.3",97,5.08571428571429,2011-11-06
"676",7,1011.1,28,25.8,24.3,21.3,76,82,"Trace",2.8,"60","39.7",97,5.08571428571429,2011-11-07
"677",8,1009.4,24.3,22.7,21.9,21.7,94,89,"13.9",0,"40","35.3",97,5.08571428571429,2011-11-08
"678",9,1008.7,22.1,19.9,18.8,18.6,93,94,"44.2",0,"20","41.2",97,5.08571428571429,2011-11-09
"679",10,1012,21.2,19.4,17.7,15.2,77,88,"0.2",0.2,"10","33.8",97,5.08571428571429,2011-11-10
"680",11,1014.7,22,20.3,18.1,14.9,71,88,"Trace",0,"20","22",97,5.08571428571429,2011-11-11
"681",12,1016.8,24.7,22,19.6,16.9,73,54,"0",7.4,"30","10.7",98,4.77142857142857,2011-11-12
"682",13,1017.1,26.6,23.2,21.1,18.9,78,45,"0",8.6,"20","13.8",98,4.77142857142857,2011-11-13
"683",14,1017.9,25.3,23.4,22.6,19.9,81,80,"Trace",4.5,"80","28",98,4.77142857142857,2011-11-14
"684",15,1018.2,26.2,23.5,22.1,19,76,55,"0",9.1,"090#","35.8#",98,4.77142857142857,2011-11-15
"685",16,1015.7,25.5,23.4,21.7,19.7,80,77,"0",5.1,"70","32.8",98,4.77142857142857,2011-11-16
"686",17,1012.2,24.5,23.4,22.6,21.1,87,83,"18.1",0,"50","33.1",98,4.77142857142857,2011-11-17
"687",18,1009.2,26.9,24.4,22.6,23.2,93,88,"8.6",1.4,"70","14.8",98,4.77142857142857,2011-11-18
"688",19,1012,26.4,24.9,23.7,21.9,84,77,"1.1",2.4,"20","18.7",99,5.01428571428571,2011-11-19
"689",20,1019.3,24.4,22.9,21.2,18,74,67,"Trace",2.9,"90","33.8",99,5.01428571428571,2011-11-20
"690",21,1021.6,22.3,21.5,20.8,15.7,70,84,"Trace",0.9,"80","46.8",99,5.01428571428571,2011-11-21
"691",22,1020.8,23.7,22,20.2,15.6,67,85,"Trace",1,"50","25.5",99,5.01428571428571,2011-11-22
"692",23,1020.4,23.8,22,20.7,13.9,60,77,"Trace",3.8,"20","23.5",99,5.01428571428571,2011-11-23
"693",24,1021.1,22.7,20.8,18.7,14.7,68,73,"0",7.3,"80","31.3",99,5.01428571428571,2011-11-24
"694",25,1020.4,21.3,20.5,19.6,15.2,72,88,"0",0.1,"80","40.3",99,5.01428571428571,2011-11-25
"695",26,1018.5,22.3,21.1,20.1,15.9,73,86,"Trace",0.2,"60","36",100,5.4,2011-11-26
"696",27,1016,24.5,21.3,19.3,16.8,76,11,"0",9.8,"50","23",100,5.4,2011-11-27
"697",28,1014.4,24.7,21.9,20.2,18.2,80,32,"0",9.8,"60","22.7",100,5.4,2011-11-28
"698",29,1015.2,25,22.7,21.6,18.6,78,43,"0",9.2,"60","22.1",100,5.4,2011-11-29
"699",30,1014.6,26.3,23.1,21.5,19.3,80,41,"Trace",7.2,"50","15.9",100,5.4,2011-11-30
"700",1,1017.2,21.8,18.7,14.9,12.6,68,59,"0",1.7,"10","36.6",100,5.4,2011-12-01
"701",2,1017,17.8,15,13.4,7,59,35,"0",8.1,"10","32.2",100,5.4,2011-12-02
"702",3,1017.5,19.4,15.1,11.8,5.8,54,3,"0",9.8,"20","22.7",101,5.42857142857143,2011-12-03
"703",4,1019,20.2,17.4,14.4,10.5,65,29,"0",9.5,"70","33",101,5.42857142857143,2011-12-04
"704",5,1018.4,20.2,18.8,18.1,15.1,79,88,"1.2",0,"70","38.4",101,5.42857142857143,2011-12-05
"705",6,1018.2,21.8,19.9,17.6,17.2,85,84,"1.2",0.2,"60","27.6",101,5.42857142857143,2011-12-06
"706",7,1016.7,24.5,22.3,20.4,18.6,80,83,"0",3.3,"30","14",101,5.42857142857143,2011-12-07
"707",8,1017.6,22.9,20.4,15.7,13.4,65,66,"0",6.7,"20","38.5",101,5.42857142857143,2011-12-08
"708",9,1022.5,16.3,14.6,13.4,6.8,59,87,"Trace",1.6,"20","41.2",101,5.42857142857143,2011-12-09
"709",10,1023.8,15.9,13.1,11,1.4,45,30,"0",9.6,"20","42.8",102,5.65714285714286,2011-12-10
"710",11,1022.7,16.3,12.9,9.6,1,44,13,"0",9.6,"20","33.5",102,5.65714285714286,2011-12-11
"711",12,1020.5,18.6,15.1,11.7,4,48,19,"0",9.6,"20","23.5",102,5.65714285714286,2011-12-12
"712",13,1019.5,20.7,17.1,14.1,8.6,58,52,"Trace",9.3,"20","20.4",102,5.65714285714286,2011-12-13
"713",14,1018.8,21.6,19.3,17.7,12.1,63,85,"0",0.4,"40","13.9",102,5.65714285714286,2011-12-14
"714",15,1019.7,22.2,19.2,17.5,11.1,60,39,"0",9.4,"20","21.3",102,5.65714285714286,2011-12-15
"715",16,1023.3,19,17,15.1,8.2,56,49,"0",8.4,"20","29.5",102,5.65714285714286,2011-12-16
"716",17,1024.6,17.8,16.1,14.4,9.4,65,63,"Trace",7.1,"80","29.8",103,6.17142857142857,2011-12-17
"717",18,1023.8,18.6,16.1,13.6,10.6,70,33,"Trace",9.3,"40","25.6",103,6.17142857142857,2011-12-18
"718",19,1021.4,19.2,16.7,14,11.8,73,43,"0",9.3,"60","30.5",103,6.17142857142857,2011-12-19
"719",20,1019.6,18.7,17.4,16.7,12.5,74,88,"Trace",0,"40","24",103,6.17142857142857,2011-12-20
"720",21,1018.3,22,19.5,17.2,13.4,68,79,"0",1.6,"30","15.4",103,6.17142857142857,2011-12-21
"721",22,1019.2,20.5,17.9,16.1,10.1,61,41,"0",9,"20","24.5",103,6.17142857142857,2011-12-22
"722",23,1021.2,17.7,15,12.6,8,63,32,"0",8.4,"20","28.2",103,6.17142857142857,2011-12-23
"723",24,1023.8,15.6,13,10.6,-0.7,39,9,"0",9.3,"20","38",104,4.72857142857143,2011-12-24
"724",25,1025.2,15.9,13.3,10.3,1.5,45,19,"0",9.4,"20","26.2",104,4.72857142857143,2011-12-25
"725",26,1025.1,17.9,15.8,13.9,7.5,58,84,"0",0.6,"50","28.9",104,4.72857142857143,2011-12-26
"726",27,1023.7,18,16.5,15.1,12.2,76,55,"0",8.6,"80","39.1",104,4.72857142857143,2011-12-27
"727",28,1022.2,20.6,17.3,15.1,13.9,81,7,"0",9.4,"60","19.6",104,4.72857142857143,2011-12-28
"728",29,1020.6,20.7,17.7,16.1,14.4,81,37,"0",7.5,"60","26.3",104,4.72857142857143,2011-12-29
"729",30,1023,19.6,17.7,16.5,13.9,79,82,"Trace",3.2,"80","27.3",104,4.72857142857143,2011-12-30
"730",31,1023.4,19.8,16.9,14.8,13.4,80,68,"0.4",4,"30","19.3",105,5.37142857142857,2011-12-31
"731",1,1022.3,20,17.2,15.4,13,76,44,"0.0",9.3,"080","19.3",105,5.37142857142857,2012-01-01
"732",2,1021.2,18.3,16.6,15.5,12.3,76,61,"0.0",7,"090","30.8",105,5.37142857142857,2012-01-02
"733",3,1020.4,19.6,17,15.5,12.2,74,77,"0.0",3,"070","29.7",105,5.37142857142857,2012-01-03
"734",4,1024.2,16,13.5,11.8,7.4,67,83,"Trace",0.5,"020","33.3",105,5.37142857142857,2012-01-04
"735",5,1023.4,11.9,11,10.2,7.5,79,90,"0.8",0,"030","26.7",105,5.37142857142857,2012-01-05
"736",6,1022.8,15.6,13.2,10.7,10.2,82,88,"0.5",0.1,"020","17.7",105,5.37142857142857,2012-01-06
"737",7,1025.4,15.2,14.2,13.1,10.8,81,88,"0.0",0,"030","19.1",106,4.41428571428571,2012-01-07
"738",8,1024.7,18,15.6,13.9,11.4,76,72,"0.0",6.3,"030","13.5",106,4.41428571428571,2012-01-08
"739",9,1022.9,18.8,15.8,13.3,11.4,75,67,"0.0",9.2,"020","13.5",106,4.41428571428571,2012-01-09
"740",10,1022.4,18.3,15.9,13.8,11.8,77,62,"0.0",5.1,"020","13.5",106,4.41428571428571,2012-01-10
"741",11,1023.7,18.3,16,14.9,11.3,74,85,"0.4",0.4,"020","22.2",106,4.41428571428571,2012-01-11
"742",12,1022.6,16.8,15.3,13.6,11.7,79,89,"0.9",0,"040","24.2",106,4.41428571428571,2012-01-12
"743",13,1019.6,17.3,15.9,14.9,13.7,87,88,"2.3",0,"050","21.9",106,4.41428571428571,2012-01-13
"744",14,1015.1,18.9,17.5,16,15.9,90,88,"0.6",0,"050","18.6",107,5.82857142857143,2012-01-14
"745",15,1011.5,18.2,17.2,16,16.8,98,95,"19.1",0,"040","14.6",107,5.82857142857143,2012-01-15
"746",16,1012.7,16.6,15.7,14.5,13.8,89,84,"8.7",0.1,"020","13.0",107,5.82857142857143,2012-01-16
"747",17,1014.8,18.7,16.5,15.2,12.5,78,58,"0.0",8,"050","26.5",107,5.82857142857143,2012-01-17
"748",18,1014.1,19.7,17.7,15.6,14.7,83,71,"0.0",6,"040","27.2",107,5.82857142857143,2012-01-18
"749",19,1014.3,22.4,19.4,17.7,17.2,87,65,"0.0",8.3,"040","14.1",107,5.82857142857143,2012-01-19
"750",20,1015.5,19.2,17.4,16.4,15,86,86,"0.0",1.2,"060","33.2",107,5.82857142857143,2012-01-20
"751",21,1014.8,16.9,16.2,15.9,14.1,87,88,"Trace",0,"050","33.9",108,4.47142857142857,2012-01-21
"752",22,1017.5,16.3,13.4,10.6,10.8,84,96,"Trace",0,"020","28.6",108,4.47142857142857,2012-01-22
"753",23,1020.1,11.8,10.5,9.4,7.9,84,96,"1.3",0,"020","29.8",108,4.47142857142857,2012-01-23
"754",24,1018.6,12.2,10.9,8.9,9.3,90,99,"4.5",0,"040","34.8",108,4.47142857142857,2012-01-24
"755",25,1021.1,10.2,8.7,7.4,6.8,88,89,"2.2",0,"020","30.5",108,4.47142857142857,2012-01-25
"756",26,1019.7,13.4,11.2,9,9.5,90,94,"0.8",0,"050","38.0",108,4.47142857142857,2012-01-26
"757",27,1016.6,15.8,14.7,13.3,13.2,91,97,"0.0",0,"050","27.5",108,4.47142857142857,2012-01-27
"758",28,1016.1,20,16.7,14.8,14.4,86,44,"0.0",8,"040","16.8",109,5.95714285714286,2012-01-28
"759",29,1018.6,16.5,15.1,13.8,12.8,87,81,"0.0",0,"040","17.1",109,5.95714285714286,2012-01-29
"760",30,1020.5,17.9,15.7,13.9,10.5,71,70,"0.0",5,"020","15.0",109,5.95714285714286,2012-01-30
"761",31,1021.3,17.6,15.1,13.4,8.8,67,47,"0.0",8.5,"020","17.3",109,5.95714285714286,2012-01-31
"762",1,1020,18.4,15.6,13.7,11.5,77,45,"0.0",9.9,"050","21.8",109,5.95714285714286,2012-02-01
"763",2,1021.5,18.4,16,14.8,12.4,79,82,"Trace",2.9,"070","32.0",109,5.95714285714286,2012-02-02
"764",3,1022.5,15.3,14.5,13.1,10.9,79,88,"Trace",0.1,"040","26.2",109,5.95714285714286,2012-02-03
"765",4,1019.8,17.4,15.3,14,12.4,83,83,"Trace",2.1,"060","29.2",110,6.95714285714286,2012-02-04
"766",5,1016.2,19.3,17.4,15.8,14.5,83,78,"0.1",3.9,"050","23.4",110,6.95714285714286,2012-02-05
"767",6,1011.3,20.1,18.5,17.5,17.1,92,88,"0.4",0.4,"040","16.5",110,6.95714285714286,2012-02-06
"768",7,1015,20.8,16.7,11.5,13.2,81,78,"3.1",2,"020","27.8",110,6.95714285714286,2012-02-07
"769",8,1021.2,13.8,12.3,11,9.2,82,88,"0.7",0,"030","29.4",110,6.95714285714286,2012-02-08
"770",9,1019.7,13.5,12.7,11.5,9.6,81,90,"Trace",0.1,"080","40.8",110,6.95714285714286,2012-02-09
"771",10,1019,16.9,14.8,13,12.8,88,88,"Trace",0,"060","23.4",110,6.95714285714286,2012-02-10
"772",11,1021.4,16.8,14,12,11,82,88,"0.0",0.5,"030","20.0",111,6.82857142857143,2012-02-11
"773",12,1020.2,19.7,16.2,14,13.1,82,80,"Trace",3,"060","23.4",111,6.82857142857143,2012-02-12
"774",13,1017.6,22.2,19.1,15.9,15.8,81,86,"Trace",1.9,"040","16.3",111,6.82857142857143,2012-02-13
"775",14,1014.9,21.3,19.4,17.9,17.6,89,90,"0.3",0,"040","16.8",111,6.82857142857143,2012-02-14
"776",15,1013,20.8,18.8,16.2,17.8,94,89,"Trace",0,"040","18.3",111,6.82857142857143,2012-02-15
"777",16,1016.4,17.8,16.1,15.3,14.2,89,88,"Trace",0,"070","24.9",111,6.82857142857143,2012-02-16
"778",17,1020.2,17,14.9,13.2,9.9,72,85,"Trace",1,"020","24.0",111,6.82857142857143,2012-02-17
"779",18,1022.6,16.3,13.7,11.6,8.6,72,77,"0.0",2.4,"080","30.2",112,8.31428571428571,2012-02-18
"780",19,1022.1,17.9,14.3,12.3,9.1,71,59,"0.0",7.4,"080","33.2",112,8.31428571428571,2012-02-19
"781",20,1018.5,17.1,15,13.3,10.8,76,81,"0.0",0.1,"070","35.0",112,8.31428571428571,2012-02-20
"782",21,1014.1,19,17.3,15.6,14.4,84,88,"1.7",0.2,"050","23.5",112,8.31428571428571,2012-02-21
"783",22,1010.8,19.3,18.2,17.2,17.4,95,89,"1.3",0.1,"040","17.4",112,8.31428571428571,2012-02-22
"784",23,1008.9,21.3,19.9,18.8,19.6,99,91,"2.9",0,"040","13.7",112,8.31428571428571,2012-02-23
"785",24,1010,21,17.8,15.9,17.2,97,84,"0.5",0,"030","23.1",112,8.31428571428571,2012-02-24
"786",25,1011.6,17.1,16.1,14.8,15.5,96,88,"Trace",0,"050","28.1",113,8.1,2012-02-25
"787",26,1016.3,14.9,13.6,12.2,10.9,84,94,"Trace",0,"020","29.1",113,8.1,2012-02-26
"788",27,1016.4,12.8,12.1,10.9,9.6,85,88,"Trace",0,"030","28.7",113,8.1,2012-02-27
"789",28,1013.2,15.3,13,9.8,11.7,92,88,"18.0",0.1,"030","24.2",113,8.1,2012-02-28
"790",29,1014.2,15.8,14.7,13.8,12.9,89,89,"0.5",0,"050","36.6",113,8.1,2012-02-29
"791",1,1014.1,18.2,16.7,14.9,16,96,94,"Trace",0,"040","22.8",113,8.1,2012-03-01
"792",2,1012.5,24.4,20.9,18.2,19.5,92,77,"0.0",7.1,"040","14.4",113,8.1,2012-03-02
"793",3,1013.8,21,17.7,16.9,16.8,95,91,"0.2",0,"050","33.3",114,7.17142857142857,2012-03-03
"794",4,1012.8,19.6,17.9,16.4,17.2,96,89,"0.5",0.4,"040","22.9",114,7.17142857142857,2012-03-04
"795",5,1009,25.8,21.4,18.8,20.3,94,88,"Trace",1.8,"030","13.7",114,7.17142857142857,2012-03-05
"796",6,1008.5,27.4,23.8,21.9,21.9,89,86,"0.3",1.2,"170","13.1",114,7.17142857142857,2012-03-06
"797",7,1009,22.2,18.7,17.6,17.7,94,88,"Trace",0,"030","23.4",114,7.17142857142857,2012-03-07
"798",8,1010.7,17.7,16.9,16.4,16.1,95,90,"3.3",0,"050","32.7",114,7.17142857142857,2012-03-08
"799",9,1014.3,17.1,15.6,13.9,14.3,92,98,"0.2",0,"030","28.8",114,7.17142857142857,2012-03-09
"800",10,1017.7,15.4,13.9,12.5,10.3,79,96,"Trace",0,"020","26.5",115,7.2,2012-03-10
"801",11,1020,14.4,12.6,11.7,11.6,94,95,"8.4",0,"020","25.6",115,7.2,2012-03-11
"802",12,1021.7,13.5,12.6,11.4,12,96,96,"6.6",0,"060","32.2",115,7.2,2012-03-12
"803",13,1021,15.7,14.2,12.9,13.2,93,99,"1.7",0,"050","21.6",115,7.2,2012-03-13
"804",14,1018.5,17.9,16.1,14.6,13.9,87,88,"Trace",0.4,"050","28.9",115,7.2,2012-03-14
"805",15,1016.5,19.3,17.4,15.1,15.4,88,88,"0.6",0.1,"050","26.6",115,7.2,2012-03-15
"806",16,1013.5,22.6,19.9,18.1,19,95,83,"0.2",4.3,"040","14.1",115,7.2,2012-03-16
"807",17,1012.5,26.3,22.3,19.9,20,88,58,"Trace",5.9,"030","7.4",116,7.75714285714286,2012-03-17
"808",18,1012.9,28.8,23.9,20,20.2,81,35,"0.0",8.3,"200","5.7",116,7.75714285714286,2012-03-18
